DATE,LNS14000002
1/1/1948,3.3
2/1/1948,4.5
3/1/1948,4.4
4/1/1948,4.3
5/1/1948,3.7
6/1/1948,4.3
7/1/1948,4.2
8/1/1948,4.4
9/1/1948,4.1
10/1/1948,4
11/1/1948,3.9
12/1/1948,4.2
1/1/1949,4.4
2/1/1949,4.8
3/1/1949,4.6
4/1/1949,5.5
5/1/1949,6
6/1/1949,6.2
7/1/1949,6.8
8/1/1949,6.8
9/1/1949,6.8
10/1/1949,6.8
11/1/1949,6.3
12/1/1949,6.8
1/1/1950,6.9
2/1/1950,6.8
3/1/1950,6.7
4/1/1950,5.4
5/1/1950,5.8
6/1/1950,6.1
7/1/1950,5.6
8/1/1950,4.8
9/1/1950,5.1
10/1/1950,4.8
11/1/1950,5.2
12/1/1950,5.2
1/1/1951,4.6
2/1/1951,4.5
3/1/1951,4.9
4/1/1951,4.4
5/1/1951,4.2
6/1/1951,4.3
7/1/1951,4
8/1/1951,3.9
9/1/1951,4.6
10/1/1951,4.5
11/1/1951,4.5
12/1/1951,4.2
1/1/1952,3.9
2/1/1952,3.8
3/1/1952,3.5
4/1/1952,3.5
5/1/1952,3.9
6/1/1952,3.5
7/1/1952,3.7
8/1/1952,3.8
9/1/1952,3.3
10/1/1952,3.8
11/1/1952,3.4
12/1/1952,3.1
1/1/1953,3.1
2/1/1953,2.9
3/1/1953,3.2
4/1/1953,3
5/1/1953,2.7
6/1/1953,2.8
7/1/1953,2.9
8/1/1953,3
9/1/1953,3.4
10/1/1953,3.6
11/1/1953,3.7
12/1/1953,5.1
1/1/1954,5.9
2/1/1954,5.9
3/1/1954,6.4
4/1/1954,6.4
5/1/1954,6.3
6/1/1954,6.2
7/1/1954,6.3
8/1/1954,6.2
9/1/1954,6.4
10/1/1954,5.8
11/1/1954,5.6
12/1/1954,5.2
1/1/1955,5.3
2/1/1955,5
3/1/1955,4.8
4/1/1955,4.7
5/1/1955,4.7
6/1/1955,4.7
7/1/1955,4.6
8/1/1955,4.9
9/1/1955,5
10/1/1955,5.1
11/1/1955,4.9
12/1/1955,4.9
1/1/1956,4.5
2/1/1956,4.3
3/1/1956,5.1
4/1/1956,4.8
5/1/1956,5
6/1/1956,5.1
7/1/1956,5.7
8/1/1956,4.8
9/1/1956,4.6
10/1/1956,4.7
11/1/1956,4.9
12/1/1956,4.7
1/1/1957,4.8
2/1/1957,4.5
3/1/1957,4.3
4/1/1957,4.2
5/1/1957,4.7
6/1/1957,4.8
7/1/1957,4.8
8/1/1957,4.7
9/1/1957,4.6
10/1/1957,4.6
11/1/1957,5.1
12/1/1957,5.1
1/1/1958,5.9
2/1/1958,6.6
3/1/1958,6.6
4/1/1958,7.6
5/1/1958,7.3
6/1/1958,7.1
7/1/1958,7.3
8/1/1958,7.2
9/1/1958,7
10/1/1958,6.7
11/1/1958,6
12/1/1958,6.2
1/1/1959,6.2
2/1/1959,6
3/1/1959,6.2
